state,district
karnataka,shimoga
karnataka,tumkur
karnataka,udupi
andaman and nicobar,andaman islands
karnataka,uttar kannand
kerala,alappuzha
andaman and nicobar,nicobar islands
kerala,ernakulam
andhra pradesh,adilabad
kerala,idukki
andhra pradesh,anantapur
andhra pradesh,chittoor
kerala,kannur
andhra pradesh,cuddapah
andhra pradesh,east godavari
kerala,kasaragod
andhra pradesh,guntur
kerala,kollam
andhra pradesh,hyderabad
kerala,kottayam
tamil nadu,sivaganga
andhra pradesh,karimnagar
kerala,kozhikode
kerala,malappuram
andhra pradesh,khammam
tamil nadu,thanjavur
kerala,palakkad
tamil nadu,theni
kerala,pattanamtitta
andhra pradesh,krishna
tamil nadu,thiruvallur
andhra pradesh,kurnool
kerala,thiruvananthapuram
tamil nadu,thiruvarur
kerala,thrissur
andhra pradesh,mahbubnagar
kerala,wayanad
tamil nadu,thoothukudi
andhra pradesh,medak
lakshadweep,kavaratti
andhra pradesh,nalgonda
tamil nadu,tiruchchirappalli
madhya pradesh,anuppur
madhya pradesh,ashoknagar
tamil nadu,tirunelveli kattabo
madhya pradesh,balaghat
tamil nadu,tiruvannamalai
madhya pradesh,barwani
andhra pradesh,nellore
madhya pradesh,betul
andhra pradesh,nizamabad
madhya pradesh,bhind
tamil nadu,vellore
andhra pradesh,prakasam
madhya pradesh,bhopal
tamil nadu,villupuram
madhya pradesh,burhanpur
andhra pradesh,rangareddi
tamil nadu,virudhunagar
madhya pradesh,chhatarpur
tripura,dhalai
andhra pradesh,srikakulam
madhya pradesh,chhindwara
tripura,north tripura
madhya pradesh,damoh
madhya pradesh,datia
tripura,south tripura
andhra pradesh,vishakhapatnam
madhya pradesh,dewas
tripura,west tripura
andhra pradesh,vizianagaram
madhya pradesh,dhar
andhra pradesh,warangal
uttar pradesh,agra
madhya pradesh,dindori
andhra pradesh,west godavari
uttar pradesh,aligarh
madhya pradesh,east nimar
arunachal pradesh,changlang
daman and diu,junagadh
uttar pradesh,allahabad
madhya pradesh,guna
uttar pradesh,ambedkar nagar
delhi,delhi
arunachal pradesh,east kameng
madhya pradesh,gwalior
uttar pradesh,auraiya
goa,north goa
madhya pradesh,harda
arunachal pradesh,east siang
uttar pradesh,azamgarh
madhya pradesh,hoshangabad
uttar pradesh,badaun
madhya pradesh,indore
arunachal pradesh,kurung kumey
goa,south goa
uttar pradesh,baghpat
madhya pradesh,jabalpur
uttar pradesh,bahraich
arunachal pradesh,lohit
gujarat,ahmadabad
madhya pradesh,jhabua
uttar pradesh,ballia
uttar pradesh,balrampur
madhya pradesh,katni
arunachal pradesh,lower dibang valley
gujarat,amreli
uttar pradesh,banda
madhya pradesh,mandla
arunachal pradesh,lower subansiri
madhya pradesh,mandsaur
uttar pradesh,bara banki
gujarat,anand
arunachal pradesh,papum pare
madhya pradesh,morena
uttar pradesh,bareilly
gujarat,banas kantha
arunachal pradesh,tawang
madhya pradesh,narsinghpur
uttar pradesh,basti
madhya pradesh,neemuch
arunachal pradesh,tirap
uttar pradesh,bijnor
madhya pradesh,panna
arunachal pradesh,upper dibang valley
gujarat,bharuch
uttar pradesh,bulandshahr
madhya pradesh,raisen
